"","X","V","Imp","rand"
"1",1,1,3.71947631929696e-05,0.0685921179028973
"2",2,2,0.000235999480421917,0.00964731215066364
"3",3,3,3.47063451420733e-10,0.0657510691520194
"4",4,4,0.000146946207999621,0.0520582265888562
"5",5,5,0.0200956150279504,0.0298533777639993
"6",6,6,0.000175520183344942,0.00139030864291875
"7",7,7,0.00780010576295215,0.0202952433714952
"8",8,8,0.0204071255774107,0.0287183455688411
"9",9,9,0.000517948772205777,0.0170537408308165
"10",10,10,9.13325561006745e-05,0.202192381735043
"11",11,11,0.00118700058077665,0.115145989173167
"12",12,12,0.00503827954766026,0.00120542377092008
"13",13,13,0.00320709283233039,0.0771034388002276
"14",14,14,0.00128029984804092,0.0415403660240261
"15",15,15,0.00224872941380777,0.0194477169871248
