"","X","V","Imp","rand"
"1",1,1,9.07399663781702e-05,0.0943521805015734
"2",2,2,0.00859119570533601,0.00126255570265434
"3",3,3,0.000252283333562937,0.510042663686757
"4",4,4,0.000240320870792777,0.0732886138613873
"5",5,5,0.00870823322721565,0.00294378455861907
"6",6,6,0.0126166476400513,0.0149218383557968
"7",7,7,0.016639139588363,8.28957195578242e-06
"8",8,8,0.000223262394644627,0.0232120908446215
"9",9,9,5.34307314283695e-06,0.00424660702407879
"10",10,10,0.0150923096629076,0.0257150022943712
