"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,-0.303434626659099,FALSE,NA,NA,FALSE,NA
"2",2,0.188569348249181,FALSE,NA,NA,FALSE,NA
"3",3,0.476885305009249,TRUE,-0.441209884855021,0.649207481183112,FALSE,NA
"4",4,-0.107977995642651,FALSE,NA,NA,FALSE,NA
"5",5,-0.0636986562733817,FALSE,NA,NA,FALSE,NA
"6",6,-0.0787441389721453,FALSE,NA,NA,FALSE,NA
"7",7,-0.111186501509922,TRUE,-1.03413935427957,0.280518213752657,FALSE,NA
"8",8,-0.025682016895356,FALSE,NA,NA,FALSE,NA
"9",9,-0.110462825209372,TRUE,2.45701945385662,0.62588697951287,FALSE,NA
"10",10,0.387433297505199,FALSE,NA,NA,FALSE,NA
"11",6,0.100986078638948,FALSE,NA,NA,TRUE,9
