"","X","V","Imp","rand"
"1",1,1,0.0354601967248393,0.104819261711018
"2",2,2,0.00173023375562508,0.00536563311938734
"3",3,3,0.000843073746857393,0.00483297952690272
"4",4,4,0.000969111750118116,0.000143945077451198
"5",5,5,0.000163119531105165,9.88747724817127e-06
"6",6,6,0.0288594971108022,0.132659197147583
"7",7,7,0.0022658006625187,0.0186675545409959
"8",8,8,0.0321041941582993,0.054951288813313
"9",9,9,0.0346808432803295,0.054992185534371
"10",10,10,0.0440023456778478,0.0390025906975589
"11",11,11,0.00520250441946025,0.0595115631180974
"12",12,12,0.00190409367351879,0.188282747194493
"13",13,13,0.00176597464023989,0.0159290802289588
"14",14,14,0.00225626454249402,0.0564222820576762
"15",15,15,0.0578734054470338,0.0146177386053662
