"","X","V","Imp","rand"
"1",1,1,0.00397126833803096,0.0590830504209749
"2",2,2,0.001626835015345,0.0589607448321758
"3",3,3,0.0364166173030743,0.0187865694388644
"4",4,4,0.00643377892042884,0.072354473782982
"5",5,5,0.0104179475525476,0.0807332583443406
"6",6,6,0.00301191015185367,0.0698040629869673
"7",7,7,0.000669300701722423,0.000721074218885482
"8",8,8,5.65292777248313e-05,0.0744108326687906
"9",9,9,0.0398969187769545,0.0436855729638607
"10",10,10,1.14684614669299e-06,0.00636900842345476
"11",11,11,0.0106252650203587,0.138790652646984
"12",12,12,0.0122571797486868,0.00656525527403251
"13",13,13,0.00623846559906501,0.0404085920373159
"14",14,14,0.000702295430897862,0.00350554184021851
"15",15,15,0.00145358295641646,0.0758119280770271
