"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,0.0417759304442658,FALSE,NA,NA,FALSE,NA
"2",2,0.0742465631139846,TRUE,-0.234426121600618,1.14630384925277,FALSE,NA
"3",3,-0.0762959351114589,FALSE,NA,NA,FALSE,NA
"4",4,0.0163243518989385,FALSE,NA,NA,FALSE,NA
"5",5,-0.0217811720644783,TRUE,-0.891586713251896,0.965931713539076,FALSE,NA
"6",6,-0.130201810273969,FALSE,NA,NA,FALSE,NA
"7",7,0.0357270383092449,FALSE,NA,NA,FALSE,NA
"8",8,-0.127864176072145,TRUE,0.649159492016339,0.593336865623163,FALSE,NA
"9",9,-0.0731638737099594,FALSE,NA,NA,FALSE,NA
"10",10,-0.0830841937079365,FALSE,NA,NA,FALSE,NA
"11",1,-0.042914512788917,FALSE,NA,NA,TRUE,4
