"","X","V","Imp","rand"
"1",1,1,0.00428977122759697,0.351050114216622
"2",2,2,0.0140075652015301,0.00347248632593593
"3",3,3,0.00108096576252065,0.0149904535389464
"4",4,4,0.00225624406864016,0.220070123196
"5",5,5,0.00295706099056723,0.0109366991586881
"6",6,6,0.00520614585403977,0.00146991356163919
"7",7,7,0.00823907049826819,0.00333417212741918
"8",8,8,0.0225584942787258,0.000584152147916261
"9",9,9,0.000105862588605424,0.0222962904178867
"10",10,10,0.0112580298884203,0.0290489616285839
"11",11,11,0.0240295850703259,0.00709487655127613
"12",12,12,0.000283301752690315,0.00416960100509676
"13",13,13,7.20919368274438e-06,7.81765115373998e-05
"14",14,14,0.00152441598422255,0.0585320534646342
"15",15,15,0.00455884008927836,0.0228473055357291
