"","X","V","Imp","rand"
"1",1,1,0.00545138099130956,0.000139821688981746
"2",2,2,0.00102202693357908,0.081445472523404
"3",3,3,0.0638058303416798,0.087221732202041
"4",4,4,0.000869030096474722,0.000737172755818822
"5",5,5,0.00260484899886109,0.00325559611089933
"6",6,6,0.085678389079239,0.0322113625381895
"7",7,7,0.0075025635437094,0.116294769532123
"8",8,8,0.00400665902521158,0.0136102833447347
"9",9,9,0.00307921906474976,0.0729911766808546
"10",10,10,0.00488767604816524,0.186500154700026
"11",11,11,0.079249175200956,0.0272501522454995
"12",12,12,0.00684098669958273,0.00112340017943965
"13",13,13,5.88124963240186e-05,0.00616011122765839
"14",14,14,0.0609014967756072,0.0137558207406792
"15",15,15,3.68349559836137e-05,0.107291919020176
