"","X","V","Imp","rand"
"1",1,1,0.0501698469682471,0.00171329813270776
"2",2,2,0.022649709432428,0.0802611965195129
"3",3,3,0.0071291737525024,0.0155359499707516
"4",4,4,0.00568670896207677,0.0614084433144621
"5",5,5,0.0225331917253804,0.140770600577399
"6",6,6,0.0194783307390416,0.00917788696548566
"7",7,7,0.00029654205381465,0.101316063949192
"8",8,8,0.0214164475558308,0.00604679173338015
"9",9,9,0.0104884793630032,0.0951140614063238
"10",10,10,5.72963353681903e-05,0.0563502545283781
"11",11,11,0.00131916364908414,0.0312483595197457
"12",12,12,0.0475507597181747,0.00389624523859627
"13",13,13,0.0111149501789232,0.0206115365014994
"14",14,14,0.0298382261549059,0.0463409438650906
"15",15,15,0.000253376408219525,0.0803471177471649
