"","X","V","Imp","rand"
"1",1,1,0.0990496541079057,0.125284727496356
"2",2,2,0.0713388778118551,0.099448808478208
"3",3,3,0.00758999115393765,7.15867738517377e-05
"4",4,4,0.0608994036087669,0.0355544160994372
"5",5,5,0.0630172387821597,0.033567913700965
"6",6,6,0.038193550902991,0.0429235015567911
"7",7,7,0.0005349294656287,0.0850689639411443
"8",8,8,0.00420513258483787,0.145537052684416
"9",9,9,0.000311847532013574,0.0290899814498626
"10",10,10,0.000885092192442786,0.0944482848055517
"11",11,11,0.00313451573491309,0.0116296415326285
"12",12,12,0.00263649710082113,0.0267992687169631
"13",13,13,0.156517802557076,5.91031324513526e-05
"14",14,14,0.0540557303959429,0.0204597123003966
"15",15,15,0.000110833277426732,5.0710804939318e-05
