"","V1"
"1",-0.13376376841796
"2",0.0146122226307301
"3",-0.18489682190664
"4",-0.118782511993371
"5",0.345142939443769
"6",0.71307528440486
"7",0.892474812108145
"8",0.716972559220098
"9",0.648389958840527
"10",0.607530151407898
"11",0.310253559397189
"12",-0.0207077195937481
"13",-0.299632924631944
"14",-0.367638267572852
"15",-0.103185082395656
"16",-0.0768804657142214
"17",0.532056211441796
"18",0.384019818280572
"19",0.331674939908352
"20",0.297487616448938
"21",0.0225047042347493
"22",-0.00385802239009818
"23",-0.207365036310276
"24",-0.692514821221136
"25",-0.739053410022027
"26",-1.01386446856926
"27",-0.915579116731461
"28",-0.609343265642009
"29",-0.41727349563464
"30",0.0881444209796783
