"","X","V","Imp","rand"
"1",1,1,0.0275703135281072,0.00483732812251842
"2",2,2,0.167334009358158,0.158126921789275
"3",3,3,0.199100844697868,0.298451012691702
"4",4,4,0.0907433488827887,0.084984025669178
"5",5,5,0.00277048417390474,0.00164003340331269
"6",6,6,0.00985433172683266,0.000313303113111248
"7",7,7,0.0055779110091735,0.0035957972574843
"8",8,8,0.0187629094909056,0.00169300703719569
"9",9,9,0.136513970897157,0.0236202502452911
"10",10,10,0.00711157655981644,0.0679910445878344
"11",11,11,0.00769966679260414,0.0310392461391226
"12",12,12,0.00377080100736198,0.00980503111062027
"13",13,13,0.0236664411607316,0.00576353510174916
"14",14,14,0.0351444032454304,0.00515520656267788
"15",15,15,0.15747984309553,0.0527686008616778
