"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,-0.158375195411805,FALSE,NA,NA,FALSE,NA
"2",2,0.0555934534014721,TRUE,0.125234204521443,0.00300971590652717,FALSE,NA
"3",3,0.212929027721998,FALSE,NA,NA,FALSE,NA
"4",4,0.299007109497373,FALSE,NA,NA,FALSE,NA
"5",5,-0.0344579465775284,TRUE,-0.40173410605521,0.0367768598291692,FALSE,NA
"6",6,0.0198849066869959,FALSE,NA,NA,FALSE,NA
"7",7,0.0548844571422893,TRUE,0.451357080481815,0.482156804154699,FALSE,NA
"8",8,0.0808316028197413,FALSE,NA,NA,FALSE,NA
"9",9,0.16439289021056,FALSE,NA,NA,FALSE,NA
"10",10,-0.00286633873102168,FALSE,NA,NA,FALSE,NA
"11",7,-0.221367347895416,FALSE,NA,NA,TRUE,10
