"","X","V","Imp","rand"
"1",1,1,0.157120433950377,0.0192959446851301
"2",2,2,0.0155310805216991,0.0274455173028042
"3",3,3,0.0170968571504954,0.0519924548452365
"4",4,4,0.0272345918572492,0.0954599992743074
"5",5,5,0.0239875259579494,0.119036691642511
"6",6,6,7.86821921347487e-07,0.0087254573636291
"7",7,7,0.133818594119393,0.000411391049093178
"8",8,8,0.0206654715790878,0.297230792203832
"9",9,9,0.161319582054254,0.00733280246307871
"10",10,10,0.0786407973491295,0.0631493448324198
"11",11,11,0.00639322937314475,0.000323973634876949
"12",12,12,0.00445185745117591,0.0464947832638756
"13",13,13,0.000448443804686314,0.00727408012782205
"14",14,14,0.00724784041968213,0.00526609733295446
"15",15,15,0.0035319250537791,0.00055303412825664
