"","X","V","Imp","rand"
"1",1,1,0.00696512394540855,0.0790963669968883
"2",2,2,0.00102010172567814,0.0281508892661628
"3",3,3,0.0773142960556458,0.0697339094689446
"4",4,4,0.00175307113863754,0.0159561925142052
"5",5,5,0.060158347350953,0.0411559704953988
"6",6,6,0.000488337775951125,0.00502874053668665
"7",7,7,0.0476009454812122,0.0838963539743842
"8",8,8,0.047573379786201,0.0265245545164706
"9",9,9,0.142954542056731,0.0314947510329959
"10",10,10,0.000154998420161458,0.00591843482389688
"11",11,11,0.00184687914597022,0.00857806474585071
"12",12,12,0.0124025917529924,0.203357604324242
"13",13,13,0.0268663189740959,0.129225477886848
"14",14,14,0.0071198372072454,0.00370790941407584
"15",15,15,0.0768952221336419,0.0180533459964202
