"","X","V","Imp","rand"
"1",1,1,8.85038925140769e-05,0.0141997009387161
"2",2,2,0.00883047215214781,0.469524835777491
"3",3,3,0.00668022999609177,0.0377180932869515
"4",4,4,0.00177348455173163,0.0558424766520713
"5",5,5,0.00260978541402694,0.0737735630408025
"6",6,6,0.00667544155236154,0.00683792527831506
"7",7,7,0.0273375914914499,0.0291693183660315
"8",8,8,0.000835719941218252,0.0150790450222124
"9",9,9,0.00491380710974552,0.0476109530134871
"10",10,10,0.00275432989876851,0.000226126861918317
