"","X","V","Imp","rand"
"1",1,1,0.0319723964554165,0.00363807949096199
"2",2,2,0.259475041038145,0.0145789383983799
"3",3,3,0.0117735294613295,0.127203029442889
"4",4,4,0.00395405136442657,0.0281834931035365
"5",5,5,0.0397076332178278,0.00769915332497885
"6",6,6,0.00864416111525223,0.0390551391892676
"7",7,7,0.00838920563370603,0.0755742864979185
"8",8,8,1.34868024701224e-05,0.10350455291996
"9",9,9,0.0582948979330467,0.0565471120759451
"10",10,10,0.041650513972273,0.118105750176781
"11",11,11,0.261793588152122,0.0947141308245522
"12",12,12,0.134919799137458,0.00510742166223798
"13",13,13,0.000918937427477919,0.0565512600250917
"14",14,14,0.136521585905743,0.0185107680752339
"15",15,15,0.0100594112587635,0.00102319074295502
