"","X","V","Imp","rand"
"1",1,1,0.00662818433583385,0.067208041782848
"2",2,2,0.00164920324914597,0.0342354486039886
"3",3,3,0.00392456723204259,0.0563745502255449
"4",4,4,0.0922515515461478,0.0305652448444537
"5",5,5,0.000100540933631208,0.130765407524711
"6",6,6,0.218467496182451,0.0213140352787766
"7",7,7,0.00200985762583435,0.0991112472203494
"8",8,8,0.00352267142277658,0.0228286438683336
"9",9,9,0.00382760336114374,0.00780674500223099
"10",10,10,0.088135262575338,0.0956082253895667
"11",11,11,0.0051199413192928,0.0184461802338923
"12",12,12,0.191911822939136,0.129547604140546
"13",13,13,0.00441392044451631,0.0163768459439257
"14",14,14,0.104413004532714,0.0161263625849289
"15",15,15,0.00758722431926496,0.00368207873518247
