"","X","V","Imp","rand"
"1",1,1,0.00554924944557939,0.00429981229792561
"2",2,2,0.028947226189797,0.0154934357375092
"3",3,3,0.00622596420208561,0.0341316330596231
"4",4,4,0.000141077855785021,0.0784124256280144
"5",5,5,0.0146962215546514,0.303650325448214
"6",6,6,0.00134764166325774,0.0585301800389224
"7",7,7,0.00342158093184465,0.00225657320105607
"8",8,8,0.000266203458164041,0.0452869882846676
"9",9,9,0.000120918050084533,0.0128795669746848
"10",10,10,0.00250471080688746,2.56005135056674e-05
"11",11,11,8.65181530243183e-05,0.0596401065764168
"12",12,12,0.00452164178553369,0.064343540927565
"13",13,13,0.00144557951767909,0.00989874412536224
"14",14,14,0.00526223844440687,0.0530845093027904
"15",15,15,0.00257591079156864,0.00783228355457987
