"","X","V","Imp","rand"
"1",1,1,0.000425794620429196,0.132593529681456
"2",2,2,0.0488114682220588,0.043183878468318
"3",3,3,0.011933999440177,0.123959052383278
"4",4,4,0.0310012140732732,0.00112978165972656
"5",5,5,0.0204979011226402,0.00582704330858069
"6",6,6,0.0227509886043828,0.0658140586927849
"7",7,7,0.136233243195526,0.0984329131117842
"8",8,8,0.00213741045113968,0.0105513283568813
"9",9,9,0.0143792587286235,0.0377197333852821
"10",10,10,0.00670185759097855,0.00813772049635249
"11",11,11,0.106993924656633,0.0318424688748989
"12",12,12,0.0302441265836609,0.0110457048365217
"13",13,13,0.0191806974969543,0.0679596239407318
"14",14,14,6.84209549707834e-06,0.0319175794528264
"15",15,15,0.00037912461416607,0.079882102857564
