"","X","V","Imp","rand"
"1",1,1,0.0306753462567009,0.0118348439748772
"2",2,2,0.00972301959335517,0.0161552652069137
"3",3,3,0.0702037183307164,0.0948974286651988
"4",4,4,0.0702219462679096,0.0027622939681186
"5",5,5,0.00462967885763743,0.0576467374131532
"6",6,6,0.0103996677365065,0.0724325352221057
"7",7,7,0.000598610934167242,0.0039526210069024
"8",8,8,0.396601958655928,0.0404146371215061
"9",9,9,0.0469984044441084,0.0136631206474281
"10",10,10,0.388919454776733,0.0427708901115361
"11",11,11,0.0379246231597328,0.255047934448611
"12",12,12,0.00395751068116473,0.0114142748435394
"13",13,13,0.0105451710579908,0.0729105326484038
"14",14,14,0.06918107018295,0.00287588286866724
"15",15,15,0.0381172198366965,0.0512177580361212
