"","X","V","Imp","rand"
"1",1,1,0.00458359426274112,0.0906558136370926
"2",2,2,0.0799613172986715,0.0172920721934017
"3",3,3,0.0285046529365038,0.00956662349513554
"4",4,4,0.0029631880836345,0.0483334633853732
"5",5,5,0.000848961043852465,0.00518849881592753
"6",6,6,0.0257746932562878,0.153993005235203
"7",7,7,0.00179457006237094,0.00365780921752339
"8",8,8,0.0140687607484724,0.036873785075644
"9",9,9,0.127089531315357,0.00973352709237591
"10",10,10,0.00113103840469848,0.0412804558366644
"11",11,11,0.012636625794506,0.01755702397904
"12",12,12,0.0810749708604901,0.0184308260985702
"13",13,13,0.00597838965676071,0.273266828931459
"14",14,14,0.014074289942187,0.00398976823634969
"15",15,15,0.0935332632173916,0.0201745747562397
