"","X","V","Imp","rand"
"1",1,1,0.00284473901856929,0.00284302136002193
"2",2,2,0.00663171649892175,0.0591198265128808
"3",3,3,0.0426853626078413,0.0113370732070419
"4",4,4,0.000348276000411765,0.0367928782968609
"5",5,5,0.000581384993231354,0.0378171574402848
"6",6,6,3.34944977089533e-07,0.14850202669058
"7",7,7,0.00114705771887241,0.119420650767877
"8",8,8,0.00387061560935586,0.148778059241778
"9",9,9,0.01129807398792,0.00551622280352404
"10",10,10,6.32403308651689e-05,0.0445459958476777
"11",11,11,0.0043545340324231,0.0415761183775169
"12",12,12,0.00662648533797964,0.00224477743920584
"13",13,13,0.000938002934390456,0.0202428630442718
"14",14,14,0.0018487502926478,0.054426455556058
"15",15,15,0.0397133166540837,0.0166977382868156
