"","X","V","Imp","rand"
"1",1,1,5.88380570105633e-05,0.0770615035269577
"2",2,2,4.50617752006449e-05,0.0574153463817805
"3",3,3,0.0113043235190824,0.0157672314099374
"4",4,4,0.0275314667433999,0.0314906173914836
"5",5,5,0.287732564956537,0.110744464186019
"6",6,6,0.166590509194852,0.00614595950636468
"7",7,7,0.0627028466983751,0.0117690606234735
"8",8,8,3.58355420752064e-05,0.00971525202399078
"9",9,9,0.0236053695936504,0.00770529398064539
"10",10,10,0.0329899071318722,0.00127282522212645
"11",11,11,0.159203129053674,0.0140189027953424
"12",12,12,0.00659617899469376,1.7785043769517e-06
"13",13,13,0.00771260106392001,0.20918599271383
"14",14,14,0.0346995274691449,0.0201648579313404
"15",15,15,0.0195365714441318,0.177757712488702
