"","X","V","Imp","rand"
"1",1,1,0.0344480249025609,0.003960543393436
"2",2,2,0.00142657786157645,0.056237613847489
"3",3,3,0.00860965519554503,0.000672133887079098
"4",4,4,0.051686949377686,0.00935408915382791
"5",5,5,0.0809459442229016,0.0208962556299963
"6",6,6,0.0048565310459665,0.225427360576935
"7",7,7,0.0835956452427049,0.0270087888050483
"8",8,8,0.102974651777111,0.108769684638648
"9",9,9,0.0117853234477018,0.0158126933178717
"10",10,10,0.0957925710062143,0.0171738893787375
"11",11,11,0.0132967842048673,0.185391369476529
"12",12,12,0.000577902069943295,0.0418001780833767
"13",13,13,0.0741946340956167,0.00251903823351549
"14",14,14,0.113574202671805,0.0291482955401836
"15",15,15,0.0389986401532155,0.00604942518695953
