"","X","V","Imp","rand"
"1",1,1,0.00798659667506941,0.060547356973947
"2",2,2,0.0732711586568784,0.00265807458507748
"3",3,3,0.000941546729401926,0.0174379541321716
"4",4,4,0.0068258031543319,0.0112020997359209
"5",5,5,0.0391004939029639,0.00109912457488962
"6",6,6,0.0070385711854999,0.00343557111778176
"7",7,7,0.0176504605281343,0.00960516350562137
"8",8,8,0.0190150166473246,0.0754394281928303
"9",9,9,0.268213124010209,0.0173884263902254
"10",10,10,0.00112378592140055,0.232188701861817
"11",11,11,0.0180679592927232,0.206186894995033
"12",12,12,1.83945565811427e-05,0.0263746598129688
"13",13,13,0.101565139768923,0.00193144730663339
"14",14,14,0.000629496518997932,0.0678993949382409
"15",15,15,0.00104760765814379,0.0166023931196986
