"","X","V","Imp","rand"
"1",1,1,0.117866306342284,0.0238431173532382
"2",2,2,0.00115576533451887,0.000221244347943225
"3",3,3,0.0554213486774805,0.0981613710885437
"4",4,4,0.0288773344110171,0.0159260625211305
"5",5,5,0.11052695696933,0.00554053255498782
"6",6,6,0.0455154777881318,0.0076885314012977
"7",7,7,0.0491526372595686,0.466096071404216
"8",8,8,0.0706515523444873,0.0508391379576576
"9",9,9,0.095016203573186,0.00947528075903364
"10",10,10,0.0330431902623256,0.0269947594815212
"11",11,11,0.0696176914396584,0.00941496752302581
"12",12,12,0.0372711193382671,0.010418737704818
"13",13,13,0.00717127248055693,0.000119784092892157
"14",14,14,0.00120510844676169,0.00951495199924192
"15",15,15,0.0277218126769792,0.0157119326940139
