"","X","V","Imp","rand"
"1",1,1,0.0118432388329508,0.00400551930623234
"2",2,2,0.00471552505478239,0.0207849256496056
"3",3,3,0.00041479168907064,0.0255270635997628
"4",4,4,0.13648798724537,0.00694375520205388
"5",5,5,0.024757754544882,0.00683438944863351
"6",6,6,0.00423750371091795,0.318392036984716
"7",7,7,0.000358069693508191,0.0501176192710446
"8",8,8,0.00879101341625375,0.0148242638042177
"9",9,9,0.132494400711093,0.000375760768386644
"10",10,10,3.05099963541469e-08,0.0760469943427479
"11",11,11,0.0267814867340059,0.00212248229290846
"12",12,12,5.72461042629547e-06,0.0895543703815973
"13",13,13,0.000335419286970487,0.00270158119083021
"14",14,14,0.00116220281061662,0.114415469146599
"15",15,15,0.00188863484670951,0.0172744262485755
