"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,0.095733998327947,FALSE,NA,NA,FALSE,NA
"2",2,-0.10704409214935,FALSE,NA,NA,FALSE,NA
"3",3,-0.122181358368799,FALSE,NA,NA,FALSE,NA
"4",4,0.0397294944485305,FALSE,NA,NA,FALSE,NA
"5",5,-0.232771726696059,FALSE,NA,NA,FALSE,NA
"6",6,0.180733402800558,FALSE,NA,NA,FALSE,NA
"7",7,0.00462712574041851,FALSE,NA,NA,FALSE,NA
"8",8,0.0120372082961608,TRUE,0.574109217372192,0.719742702053021,FALSE,NA
"9",9,-0.226171543922198,FALSE,NA,NA,FALSE,NA
"10",10,0.170868561446183,FALSE,NA,NA,FALSE,NA
"11",11,0.0315595727384127,FALSE,NA,NA,FALSE,NA
"12",12,0.165849316626651,FALSE,NA,NA,FALSE,NA
"13",13,-0.0128840063413541,FALSE,NA,NA,FALSE,NA
"14",14,-0.0454920595278984,FALSE,NA,NA,FALSE,NA
"15",15,0.121454489456708,FALSE,NA,NA,FALSE,NA
