"","V1"
"1",-0.0683613484595127
"2",-1.22442494838532
"3",-1.52355902381046
"4",-1.28927892811506
"5",-0.561619093936058
"6",1.1156299846807
"7",-0.691122644285647
"8",-1.02917785035583
"9",-1.09330555345164
"10",0.789760206248734
"11",1.09750680056822
"12",1.39528177445039
"13",2.05105440580022
"14",0.410530664509181
"15",-0.05922243885384
"16",-1.15970048159108
"17",0.0594944750569591
"18",0.557802546358461
"19",0.112712707668009
"20",-0.700753794810123
"21",0.36805954902705
"22",0.100803787551494
"23",0.112803704748801
"24",0.836450978873011
"25",0.531713143371192
"26",0.6867405306993
"27",-0.779497689579377
"28",-1.33898105341096
"29",-0.811447063642054
"30",-0.152893418331437
"31",0.298558094869429
"32",0.956236472586551
"33",1.86413673655872
"34",2.01054977556594
"35",2.1621188811446
"36",1.5765360282293
"37",0.914551844769919
"38",-0.444940000390196
"39",-1.10223480301908
"40",-0.861142699039672
"41",-1.31205201111739
"42",-1.01820247555684
"43",-0.195718368401683
"44",0.656080573628764
"45",-0.183634905420574
"46",-0.522861587994406
"47",-0.36393415632827
"48",-0.948443797210988
"49",-0.942764500303742
"50",-0.285839031163701
