"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,-0.372488162604818,TRUE,0.574740525228314,1.38942865646424,FALSE,NA
"2",2,0.254818856899513,FALSE,NA,NA,FALSE,NA
"3",3,-0.248461205037335,FALSE,NA,NA,FALSE,NA
"4",4,-0.225848572903493,FALSE,NA,NA,FALSE,NA
"5",5,0.136101016938076,FALSE,NA,NA,FALSE,NA
"6",6,-0.0616120782668336,FALSE,NA,NA,FALSE,NA
"7",7,0.241172395717825,TRUE,-1.01240928159253,0.391220323741436,FALSE,NA
"8",8,-0.00068001218286781,FALSE,NA,NA,FALSE,NA
"9",9,0.208256666420821,TRUE,0.212475341656105,0.0304121030494571,FALSE,NA
"10",10,0.277291117870337,FALSE,NA,NA,FALSE,NA
"11",1,0.212893464014735,FALSE,NA,NA,TRUE,6
