"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,-0.190659467302154,FALSE,NA,NA,FALSE,NA
"2",2,-0.0782866891616347,FALSE,NA,NA,FALSE,NA
"3",3,-0.0151269301041774,FALSE,NA,NA,FALSE,NA
"4",4,0.0486800601198658,FALSE,NA,NA,FALSE,NA
"5",5,0.323074075568152,FALSE,NA,NA,FALSE,NA
"6",6,-0.0110864153792494,FALSE,NA,NA,FALSE,NA
"7",7,0.248786126296437,FALSE,NA,NA,FALSE,NA
"8",8,0.180002309386186,FALSE,NA,NA,FALSE,NA
"9",9,0.24510968151375,FALSE,NA,NA,FALSE,NA
"10",10,0.330868915687215,FALSE,NA,NA,FALSE,NA
"11",11,0.0211452788307279,FALSE,NA,NA,FALSE,NA
"12",12,-0.302182783179824,FALSE,NA,NA,FALSE,NA
"13",13,-0.0832021412039876,FALSE,NA,NA,FALSE,NA
"14",14,0.053469884220106,FALSE,NA,NA,FALSE,NA
"15",15,0.214713165649534,TRUE,-0.445911120283967,1.06224068708361,FALSE,NA
"16",4,0.0363563965528295,FALSE,NA,NA,TRUE,15
