"","V1"
"1",0.298124541975604
"2",0.345339478225053
"3",0.101495593284615
"4",0.22936792069292
"5",0.357056371025086
"6",0.10055151870931
"7",-0.127180658772252
"8",0.420259624594585
"9",0.147223887078779
"10",-0.230937703141408
"11",-0.631319787358783
"12",-0.584558989455274
"13",0.0158914750265805
"14",0.0540534656263043
"15",-0.103426386010011
"16",-0.801264938021749
"17",-0.781135864427284
"18",-0.590806607232677
"19",-0.68773093305662
"20",-0.31897881523476
"21",0.36910709612379
"22",0.0311316377424444
"23",-0.144539045286136
"24",0.0606638817179638
"25",0.277086429383241
"26",0.331209941660595
"27",0.341169343184373
"28",0.487834623033881
"29",0.626459172819801
"30",0.673784724768022
"31",0.669726766139913
"32",1.17066099069541
"33",1.11607668987725
"34",0.964857327587917
"35",0.539230174827901
"36",0.402719279600878
"37",0.00110938788211972
"38",-0.0577211581721986
"39",-0.0288432216123677
"40",-0.287862186263211
"41",-0.565589020303856
"42",-0.805091872916359
"43",-0.613932421756324
"44",-0.483994411463909
"45",-0.218120928677129
"46",-0.25536484129723
"47",-0.379040975539451
"48",-0.321385655046615
"49",-0.561847994124632
"50",-0.551516928114095
