"","X","V","Imp","rand"
"1",1,1,0.00294477241251829,0.0181676279023102
"2",2,2,0.0185061491621738,0.0110883210915631
"3",3,3,0.0526544786388487,0.0266108974188501
"4",4,4,0.00117636895823442,0.151584234847511
"5",5,5,0.0204278708863207,0.0282882165925366
"6",6,6,0.0533396126310302,0.0577394315674643
"7",7,7,0.117893529312193,0.000519109086605336
"8",8,8,0.00271291530284077,0.0725881934090893
"9",9,9,0.00646957945537292,0.0381119633110925
"10",10,10,0.0315643279722729,0.000540372160983954
"11",11,11,0.0165832464876167,0.0998585860035089
"12",12,12,0.103392933103846,0.0019123798000388
"13",13,13,0.056577321695237,0.0327312750259943
"14",14,14,0.0675961201186716,0.0923160304309241
"15",15,15,0.0164049561813238,0.11787605605378
