"","V1"
"1",-0.449951242505025
"2",-0.162545612412932
"3",0.632455084452025
"4",0.586365456640252
"5",0.802432441384115
"6",0.677074423176636
"7",0.436987539170829
"8",0.379167203536655
"9",-0.573320443068238
"10",-0.525222899622005
"11",-0.850216097562696
"12",-1.12921626653752
"13",-0.69663752192453
"14",-0.551595433416361
"15",-0.215688237029984
"16",-0.131433522815657
"17",0.319988932575446
"18",0.31291033193459
"19",0.208451367485566
"20",0.225274728831201
"21",0.257909068550217
"22",0.580237322537374
"23",0.504011750842658
"24",0.136545727344251
"25",-0.309290651622224
"26",-0.437962679961213
"27",-0.0481238399421846
"28",0.116855447157008
"29",0.182447600544913
"30",-0.277909977743163
