"","X","V","Imp","rand"
"1",1,1,3.46028146258384e-05,0.0404439386945321
"2",2,2,5.89705133194289e-05,0.0225065839016639
"3",3,3,0.00321131827409919,0.0623385922259073
"4",4,4,0.000665557809059891,0.00120864964630272
"5",5,5,0.00717709342944761,0.0082171179996856
"6",6,6,0.00386047668021397,0.0101419961322809
"7",7,7,0.00639732457966561,0.00173631467340831
"8",8,8,7.35090180920459e-05,0.0218134874058988
"9",9,9,0.00142518730651428,0.00634870203022331
"10",10,10,0.00837922733888054,0.00887425856497209
"11",11,11,0.0149633299236525,0.00167467978939202
"12",12,12,0.00200629975680306,0.0751748741137999
"13",13,13,0.000296284483389728,0.0234351560270162
"14",14,14,0.00150127211129972,0.456719470382136
"15",15,15,0.0124010799012509,0.00935850692909166
