"","X","V","Imp","rand"
"1",1,1,0.00302135907535199,0.150290579721646
"2",2,2,0.00361194754605773,0.0229340822171276
"3",3,3,0.000308333602350718,5.58107294336073e-06
"4",4,4,0.000778078021306778,0.0482989321789653
"5",5,5,9.44842044168684e-05,0.0518607880167925
"6",6,6,0.00150041980439748,0.0236604286573311
"7",7,7,0.0529881077215287,0.0157038223986225
"8",8,8,0.0431548677089416,0.0445384634838189
"9",9,9,0.00118616992339969,0.0494550023083032
"10",10,10,0.00305016173990629,0.0134679312796747
"11",11,11,0.000819701944828336,0.00037707651717579
"12",12,12,0.0123896443260226,0.00804560931304474
"13",13,13,0.00549614080927138,0.0305123495939166
"14",14,14,0.00095667129936466,0.000137471207145056
"15",15,15,0.0129427379583379,0.290688852083408
