"","X","V","Imp","rand"
"1",1,1,0.00100161762288683,0.020780882050491
"2",2,2,0.000454842584528466,0.00681125864256453
"3",3,3,0.0120718930905311,0.137053902622068
"4",4,4,8.13350656934899e-06,0.0153210486612863
"5",5,5,0.171526409222224,6.74100885506498e-05
"6",6,6,0.000510124046937787,0.00929938546845384
"7",7,7,0.167745151029078,0.0151335767473894
"8",8,8,6.91153412682086e-05,0.0428864129341716
"9",9,9,0.00121416830323829,0.0109305875105988
"10",10,10,7.34223368729577e-05,0.000987067445652634
"11",11,11,0.00142947471039104,0.176699081635795
"12",12,12,0.000893548579335769,0.00237543160502054
"13",13,13,0.00962482192690465,0.213849059676761
"14",14,14,1.81202084923132e-07,0.039800295254843
"15",15,15,0.000166955677663889,0.0579784361092801
