"","X","V","Imp","rand"
"1",1,1,0.00461042355262494,0.00581323742707425
"2",2,2,0.0016247775101581,0.0892836011274313
"3",3,3,0.0810459424797006,0.187153799148083
"4",4,4,0.0289476778097906,0.00229765047840007
"5",5,5,0.156991246411398,0.0948009796009263
"6",6,6,0.00777668460034918,0.0193209929659259
"7",7,7,0.0110560583911955,0.00202996692535455
"8",8,8,0.123420304833752,0.0473732787765059
"9",9,9,0.0077051484149622,0.0169764672244897
"10",10,10,0.0923394262681899,0.00889932287348965
"11",11,11,0.123338727981291,0.0467078933207161
"12",12,12,0.013118910823444,0.150290535510433
"13",13,13,0.140319303973667,0.0102452798176047
"14",14,14,4.15690629628885e-05,0.0649650369961748
"15",15,15,6.242959757436e-05,0.00378115986691149
