"","X","V","Imp","rand"
"1",1,1,0.00194591171346722,0.000503446185710807
"2",2,2,0.000234963210525632,0.038481918442713
"3",3,3,0.0287037634531234,0.0305141806773271
"4",4,4,0.0129133025595058,0.0484522549801741
"5",5,5,0.00400199107018677,0.0445936033959087
"6",6,6,0.00759860460503636,0.00606085416935895
"7",7,7,0.00376144051113913,0.0443949960715639
"8",8,8,0.00934090292456881,0.118601823043675
"9",9,9,0.00524898578508667,0.000633618467322822
"10",10,10,0.00724384414714112,0.0677473729401145
"11",11,11,0.0136291230529216,0.197052887593536
"12",12,12,0.000255000287978693,0.0926460378483821
"13",13,13,0.00242436053985922,0.0252800206379306
"14",14,14,0.00323809694607657,0.0349401505302519
"15",15,15,0.00182591291772892,1.98292201808498e-05
