"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,-0.108510462406523,FALSE,NA,NA,FALSE,NA
"2",2,-0.0556592543455286,FALSE,NA,NA,FALSE,NA
"3",3,0.135602849536068,FALSE,NA,NA,FALSE,NA
"4",4,0.150702722384934,FALSE,NA,NA,FALSE,NA
"5",5,0.029479829437312,FALSE,NA,NA,FALSE,NA
"6",6,0.0835062153402526,FALSE,NA,NA,FALSE,NA
"7",7,0.0695282803735483,FALSE,NA,NA,FALSE,NA
"8",8,0.0241425791612461,FALSE,NA,NA,FALSE,NA
"9",9,0.141256953794325,FALSE,NA,NA,FALSE,NA
"10",10,-0.120455963517124,FALSE,NA,NA,FALSE,NA
"11",11,-0.13789277293647,FALSE,NA,NA,FALSE,NA
"12",12,-0.0749098462143967,TRUE,-0.0110494913972408,0.263019906356931,FALSE,NA
"13",13,-0.208518804537003,FALSE,NA,NA,FALSE,NA
"14",14,0.0393623290178377,FALSE,NA,NA,FALSE,NA
"15",15,-0.236099348300409,FALSE,NA,NA,FALSE,NA
"16",2,0.0479845242769697,FALSE,NA,NA,TRUE,6
"17",2,-0.136298065383208,FALSE,NA,NA,TRUE,3
