"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,0.0918073476400273,FALSE,NA,NA,FALSE,NA
"2",2,0.0897121660450026,FALSE,NA,NA,FALSE,NA
"3",3,0.00246694060391556,FALSE,NA,NA,FALSE,NA
"4",4,0.142556981001437,FALSE,NA,NA,FALSE,NA
"5",5,0.0514250617285396,FALSE,NA,NA,FALSE,NA
"6",6,0.0685925530835024,FALSE,NA,NA,FALSE,NA
"7",7,0.0267889159690689,FALSE,NA,NA,FALSE,NA
"8",8,0.00496377396599719,FALSE,NA,NA,FALSE,NA
"9",9,0.0570851357346357,FALSE,NA,NA,FALSE,NA
"10",10,0.0396984594609386,FALSE,NA,NA,FALSE,NA
"11",11,-0.0472583575013028,FALSE,NA,NA,FALSE,NA
"12",12,-0.0308375991507866,FALSE,NA,NA,FALSE,NA
"13",13,0.0832026351004733,FALSE,NA,NA,FALSE,NA
"14",14,-0.0519660946513235,FALSE,NA,NA,FALSE,NA
"15",15,0.000796358777822757,TRUE,1.24398253045404,0.80801774464072,FALSE,NA
