"","X","V","Imp","rand"
"1",1,1,0.0427769533559978,0.00123718470484333
"2",2,2,0.000860867991373998,0.0215505187923654
"3",3,3,0.00869836063749745,0.00153339527020388
"4",4,4,0.0038705809950292,0.212326667176764
"5",5,5,0.00820584318650049,0.0545774328765812
"6",6,6,0.0156356525883378,0.138930597680384
"7",7,7,0.0518257019411948,0.0244005902774938
"8",8,8,0.00705794505959251,0.0632663999435627
"9",9,9,0.0276672175602076,0.00178541573175875
"10",10,10,0.00120610556059494,0.00331946845968108
"11",11,11,0.014703283232475,0.00426752819165186
"12",12,12,0.0328850580621455,0.0684421763370952
"13",13,13,0.0311594094256501,0.106619092040572
"14",14,14,0.00312099165194184,0.0316421194773928
"15",15,15,0.000256651001580823,0.0160051140928772
