"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,0.0609056204131079,FALSE,NA,NA,FALSE,NA
"2",2,0.0403207950313815,FALSE,NA,NA,FALSE,NA
"3",3,0.120264478124688,TRUE,0.340023837554255,0.378575019538403,FALSE,NA
"4",4,-0.0758856455641033,FALSE,NA,NA,FALSE,NA
"5",5,0.0694877693614781,TRUE,-1.28723379881779,0.42741410760209,FALSE,NA
"6",6,0.00446109177920116,FALSE,NA,NA,FALSE,NA
"7",7,0.0400792513841752,FALSE,NA,NA,FALSE,NA
"8",8,0.0221752331386511,FALSE,NA,NA,FALSE,NA
"9",9,0.0439941102733014,FALSE,NA,NA,FALSE,NA
"10",10,0.130243807135886,TRUE,0.141775250385592,1.38275962877543,FALSE,NA
"11",11,0.0927939592433832,FALSE,NA,NA,FALSE,NA
"12",12,0.0105250512353795,FALSE,NA,NA,FALSE,NA
"13",13,0.0445134845725237,FALSE,NA,NA,FALSE,NA
"14",14,0.00891813672531569,FALSE,NA,NA,FALSE,NA
"15",15,-0.01612634514622,FALSE,NA,NA,FALSE,NA
