"","X","V","Imp","rand"
"1",1,1,0.00370949459790559,0.0264082248659199
"2",2,2,0.00162576651196268,0.0358796518766364
"3",3,3,0.0144635446986036,0.0397042891142777
"4",4,4,0.00575863120268071,0.0869868755228495
"5",5,5,0.00482855009083397,0.181510098160663
"6",6,6,1.99013398624562e-05,0.00219659362994836
"7",7,7,0.00160634639151591,0.0151616428357864
"8",8,8,0.00049174096475353,0.0698949277249311
"9",9,9,0.0019354817387394,0.0303446069585351
"10",10,10,0.0169634492972499,0.0485596238558689
"11",11,11,0.00861071887206266,0.00181488765208092
"12",12,12,0.000110776703507364,0.00010686162456221
"13",13,13,0.00198145030878831,0.122979971411562
"14",14,14,7.95331626514244e-05,0.0388620450605355
"15",15,15,0.000260059007775013,0.0495750453768913
