"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,-0.0888344053125436,0,NA,NA,FALSE,NA
"2",2,-0.00142858152467278,0,NA,NA,FALSE,NA
"3",3,0.0387914166824557,0,NA,NA,FALSE,NA
"4",4,-0.144191001752547,0,NA,NA,FALSE,NA
"5",5,0.247285733460715,0,NA,NA,FALSE,NA
"6",6,0.223439667245442,0,NA,NA,FALSE,NA
"7",7,-0.14841140638357,0,NA,NA,FALSE,NA
"8",8,0.218436185588781,0,NA,NA,FALSE,NA
"9",9,0.138387609959998,0,NA,NA,FALSE,NA
"10",10,-0.00177152489730245,0,NA,NA,FALSE,NA
"11",8,0.140804919378929,0,NA,NA,TRUE,9
