"","V1"
"1",-0.294901663868181
"2",-0.957223847323155
"3",-1.34461076976456
"4",-1.05100064037899
"5",-0.779710947954751
"6",-0.543584870960591
"7",-1.03692247074473
"8",-0.933184843733891
"9",-0.662401251707101
"10",-0.317199397032405
"11",-0.860036845137624
"12",-0.802276526448846
"13",0.216865240010369
"14",-0.529254963132193
"15",-0.511034594738361
"16",-0.623196692697203
"17",-1.00004881102147
"18",-0.398661388008632
"19",0.0799075769603392
"20",-0.425266631259106
"21",-1.54620909014726
"22",-1.43317455429259
"23",-0.575424387711055
"24",-0.115341929363204
"25",-0.240592464264939
"26",-0.593129429461175
"27",-0.580408339486558
"28",0.179695577536351
"29",0.449772244920194
"30",0.257584528296696
"31",-0.784076304984866
"32",-1.21680878410525
"33",0.170875069942579
"34",1.29813321080029
"35",0.725143808396232
"36",-0.485299040448978
"37",-0.492711114675335
"38",-0.625851337174796
"39",-0.125564597089544
"40",1.18477913332766
"41",1.53123682679275
"42",0.778274156241494
"43",1.04812720550443
"44",0.705385790338409
"45",-1.04410261089659
"46",-0.151653827761496
"47",-0.797766034702372
"48",-0.223051178855358
"49",-0.133549145729667
"50",0.219759579079219
"51",0.824941071599575
"52",0.643307245687532
"53",0.563766869217
"54",0.103453138588538
"55",0.194103034841383
"56",0.31098430694583
"57",-0.129494760822451
"58",-0.318460296361838
"59",0.0216469137582421
"60",0.424603294714325
"61",0.783592335263333
"62",1.07362601386304
"63",0.760513020982999
"64",0.250853517638734
"65",-0.026271595983001
"66",0.260753318303225
"67",-0.112175214762159
"68",0.122019345424119
"69",-0.632157545576228
"70",-1.15144690506007
"71",-1.23905058500447
"72",-1.57095034341562
"73",-0.142149909910671
"74",-0.138787574856828
"75",-0.014945622914
"76",0.540785504210275
"77",0.297522802096004
"78",0.27519898818834
"79",0.705135075242558
"80",0.474925079827141
"81",0.466933715459922
"82",-0.505319940368796
"83",-0.0415165717344398
"84",-0.195115056308749
"85",-0.0399445244928574
"86",1.17406904804619
"87",1.63052026413795
"88",1.42559629405355
"89",1.68155080273155
"90",1.04374262135582
"91",0.823057515207958
"92",0.495472594461264
"93",0.713947586975756
"94",0.292724307427393
"95",0.577600457539664
"96",0.230125581424104
"97",0.172595026345374
"98",0.901073353544939
"99",0.315574960029577
"100",1.07116282135477
