"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,-0.0355833217457053,TRUE,-0.857029257611952,1.24947928260536,FALSE,NA
"2",2,0.405597024896653,FALSE,NA,NA,FALSE,NA
"3",3,0.377052582414281,FALSE,NA,NA,FALSE,NA
"4",4,0.326135805374147,FALSE,NA,NA,FALSE,NA
"5",5,-0.188064714457455,FALSE,NA,NA,FALSE,NA
"6",6,-0.0851508590692424,FALSE,NA,NA,FALSE,NA
"7",7,0.142286951232242,TRUE,1.64251845598034,0.225423284806311,FALSE,NA
"8",8,0.251620889187436,FALSE,NA,NA,FALSE,NA
"9",9,0.148028078287805,FALSE,NA,NA,FALSE,NA
"10",10,0.00991713978555752,TRUE,-0.154063948558997,0.114285874646157,FALSE,NA
