"","X","V","Imp","rand"
"1",1,1,0.000178722144028373,0.00800009530639953
"2",2,2,0.000264505161839068,0.000394393166383388
"3",3,3,0.000977532900249828,0.0191261670948723
"4",4,4,0.00984081468174569,0.0142130664538847
"5",5,5,0.00488161028127093,0.00261602363641815
"6",6,6,0.00442092189310873,0.0174797605401374
"7",7,7,0.0011523086288207,0.0456231767300969
"8",8,8,0.000151085698783545,0.0417545127016913
"9",9,9,0.0315592770524713,0.000712314543352573
"10",10,10,8.21014372557913e-07,0.0762458078619671
"11",11,11,0.00439446257973666,0.00742603222771372
"12",12,12,0.00061001562684298,0.0201357626425111
"13",13,13,0.00287024286903922,0.328037229007265
"14",14,14,0.00122298927952067,0.134652249336931
"15",15,15,1.69591774741203e-05,0.0333706128432305
