"","X","V","Imp","rand"
"1",1,1,0.0537112406428284,0.0938053032434259
"2",2,2,0.000957550561112577,0.00974968502852297
"3",3,3,0.00650498073578522,0.0605661538096889
"4",4,4,0.0537437524962241,0.0221605516201262
"5",5,5,0.00721186929172561,0.128069142394606
"6",6,6,0.133363256028886,0.0552290173883987
"7",7,7,0.0193745277390116,0.143862079337004
"8",8,8,0.0503996486914646,0.000154310269733226
"9",9,9,0.129593059794368,0.0182722053310228
"10",10,10,0.00635263858263938,0.00386889113983241
"11",11,11,0.0209129708028434,0.0129602303451886
"12",12,12,0.000797872765794951,0.141998716834408
"13",13,13,0.040194073100637,0.0517203998011915
"14",14,14,0.0452334390092405,0.00658468467463647
"15",15,15,0.0101052474596897,0.000976551356250241
