"","X","V","Imp","rand"
"1",1,1,0.0274401648204587,0.00254796329695963
"2",2,2,0.0274830106483595,0.0706536965345256
"3",3,3,0.0197123955404316,0.0489457924617935
"4",4,4,2.98998417731712e-06,0.310943817852322
"5",5,5,0.0225272862390071,0.00510021151418798
"6",6,6,0.0426947970094346,0.00155516169644281
"7",7,7,0.0094278458302946,0.00099302963517823
"8",8,8,8.48888143553834e-08,0.018996103186163
"9",9,9,0.0180858540635067,0.0978459109519099
"10",10,10,0.00861942960285879,0.0119672007820096
"11",11,11,0.00728103768296359,0.00400235975482728
"12",12,12,0.00356248893185745,0.00173316217558139
"13",13,13,0.0493369305789,0.0378648142388205
"14",14,14,0.00451583362304855,0.123291529549946
"15",15,15,0.0092484139767465,0.0137073475745518
