"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,0.235720511291665,0,NA,NA,FALSE,NA
"2",2,-0.0906830949751488,0,NA,NA,FALSE,NA
"3",3,-0.191508391384421,0,NA,NA,FALSE,NA
"4",4,-0.104010520681687,0,NA,NA,FALSE,NA
"5",5,0.0455891385872952,0,NA,NA,FALSE,NA
"6",6,-0.10191355450188,0,NA,NA,FALSE,NA
"7",7,-0.141046868199771,0,NA,NA,FALSE,NA
"8",8,0.0205827709096853,0,NA,NA,FALSE,NA
"9",9,0.276948387943206,0,NA,NA,FALSE,NA
"10",10,-0.227859095797192,0,NA,NA,FALSE,NA
"11",11,0.135432511008356,0,NA,NA,FALSE,NA
"12",12,0.19176212155909,0,NA,NA,FALSE,NA
"13",13,-0.189637712648635,0,NA,NA,FALSE,NA
"14",14,0.141419752163755,0,NA,NA,FALSE,NA
"15",15,0.140443013897289,0,NA,NA,FALSE,NA
"16",3,-0.396789463795858,0,NA,NA,TRUE,9
"17",7,0.039574978355999,0,NA,NA,TRUE,13
