"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,-0.077654450486812,FALSE,NA,NA,FALSE,NA
"2",2,-0.0365032017832401,FALSE,NA,NA,FALSE,NA
"3",3,0.138076649756223,FALSE,NA,NA,FALSE,NA
"4",4,-0.131312928869889,TRUE,0.562927703529529,0.687772005330771,FALSE,NA
"5",5,-0.228872898433729,FALSE,NA,NA,FALSE,NA
"6",6,0.248199525881384,FALSE,NA,NA,FALSE,NA
"7",7,0.268278470290679,FALSE,NA,NA,FALSE,NA
"8",8,-0.298124174407744,FALSE,NA,NA,FALSE,NA
"9",9,0.0585875175867894,FALSE,NA,NA,FALSE,NA
"10",10,-0.490460460290824,FALSE,NA,NA,FALSE,NA
