"","V1","effect_size","nonlinear","location","scale","interactions","V2"
"1",1,0.118919843568421,TRUE,-0.210655421635697,0.356180296745151,FALSE,NA
"2",2,0.0618207979394448,FALSE,NA,NA,FALSE,NA
"3",3,-0.000761980374685077,FALSE,NA,NA,FALSE,NA
"4",4,0.0474580422660007,FALSE,NA,NA,FALSE,NA
"5",5,0.269403465651453,TRUE,0.385379277013017,2.00242616972866,FALSE,NA
"6",6,0.0473790585092913,TRUE,0.905847028793192,2.52472667197201,FALSE,NA
"7",7,0.156884646026501,FALSE,NA,NA,FALSE,NA
"8",8,-0.0614945980336852,FALSE,NA,NA,FALSE,NA
"9",9,-0.0142260745154814,FALSE,NA,NA,FALSE,NA
"10",10,-0.135369896469493,FALSE,NA,NA,FALSE,NA
"11",11,0.0646521593713098,FALSE,NA,NA,FALSE,NA
"12",12,-0.125341737463239,FALSE,NA,NA,FALSE,NA
"13",13,0.118423743056623,FALSE,NA,NA,FALSE,NA
"14",14,0.191645443167344,FALSE,NA,NA,FALSE,NA
"15",15,-0.145525827052084,FALSE,NA,NA,FALSE,NA
"16",11,0.0686329742544423,FALSE,NA,NA,TRUE,14
"17",3,-0.10726880645936,FALSE,NA,NA,TRUE,8
