"","V1"
"1",-0.276234208337029
"2",-1.13041070782702
"3",0.901227722710223
"4",-1.44957258505487
"5",-0.849418820443988
"6",-0.524727788808667
"7",-0.539956344477071
"8",-0.347278244989123
"9",-0.579868703488461
"10",-0.494541414502455
"11",-0.564731618933174
"12",-0.558413223371338
"13",-0.459518114649592
"14",0.74811513664616
"15",0.620053478995016
"16",1.76249836812179
"17",0.00844779164978341
"18",1.44172669322755
"19",1.63145709891638
"20",-0.833026830675147
"21",-0.67808987234701
"22",0.99321447771562
"23",-0.0363006178476542
"24",-0.0282184795391812
"25",-1.91972541441764
"26",-0.470496482218337
"27",-1.12971165182259
"28",-1.07576053046167
"29",-1.40669616463594
"30",-1.36047312480641
"31",-1.93276850759238
"32",-0.752274887827006
"33",-0.670354954537894
"34",0.780538754169771
"35",1.4893439329341
"36",0.285009359334211
"37",0.943850921031843
"38",2.04237951513563
"39",0.567817635777599
"40",0.258305478291575
"41",0.435402060113511
"42",1.05496052182116
"43",0.748481291419706
"44",1.58256269828697
"45",-0.453161382923103
"46",0.792646459807946
"47",-0.276664886533506
"48",0.287914329983224
"49",1.29665276453714
"50",0.287889922723753
"51",0.27159813176409
"52",-1.37078472713302
"53",-1.74313882041056
"54",-0.482789339469601
"55",-0.981092280891696
"56",0.578888143866891
"57",0.844769326937695
"58",-0.873000446135986
"59",-0.794233546307882
"60",0.63921828863484
"61",1.15546453506282
"62",1.02204751906782
"63",-0.31624763897826
"64",0.398765362885846
"65",1.33315119375095
"66",2.43624754969734
"67",1.32231761516532
"68",2.45946309408986
"69",0.509233159465605
"70",1.84229987292102
"71",0.674905576362775
"72",-0.739024031096864
"73",-0.400925178546965
"74",1.10311583344936
"75",-1.29039910329791
"76",-1.18433546932587
"77",-0.580242493926425
"78",-1.4430685389379
"79",-0.868740482280959
"80",-1.07517224078538
"81",-0.0445866383736657
"82",-0.420395083181618
"83",-0.0561710688845535
"84",-0.906506980995429
"85",-1.67018072664058
"86",-0.970566613638542
"87",-0.631539917158084
"88",-0.630336124721288
"89",0.978332674248796
"90",0.111832834857738
"91",0.874912121203615
"92",-0.133124513794714
"93",0.202585167275765
"94",-0.86359433363749
"95",-0.13207481489035
"96",0.871090055907759
"97",0.666391082315537
"98",0.0778537371523847
"99",0.601373336810121
"100",-0.535685909734769
