"","X","V","Imp","rand"
"1",1,1,0.0550483834453655,0.164525729969708
"2",2,2,0.0132460161299031,0.0492940139276489
"3",3,3,7.8816952628095e-05,0.0747597596009767
"4",4,4,0.0139952145215995,0.0448077535265864
"5",5,5,0.000191268239782757,0.0743220215323551
"6",6,6,0.00623846960186444,0.0433729004508002
"7",7,7,0.0395021157455583,2.31320718243707e-05
"8",8,8,0.198611600544454,0.0183860942544006
"9",9,9,0.00188744028955331,0.00587009744584746
"10",10,10,0.0096940564172893,0.0567864754810141
"11",11,11,0.168207497494271,0.0379794632361497
"12",12,12,0.0113058187072848,0.0362149452165798
"13",13,13,0.00105442981857683,0.00228401735950598
"14",14,14,0.000610024366604328,0.133584447198359
"15",15,15,0.00452449089011675,0.00768804183973593
