"","X","V","Imp","rand"
"1",1,1,0.0110759153720111,0.235653911312668
"2",2,2,0.00564873106303348,0.0525115470644885
"3",3,3,0.000162171194713815,0.0524270061069569
"4",4,4,0.000174522559602147,0.00279616304154634
"5",5,5,0.0125292249786349,0.0136662760506873
"6",6,6,0.00018816399062585,0.058902558524115
"7",7,7,0.000329547545150207,0.000185426637840249
"8",8,8,0.00166657147047636,0.111627777149646
"9",9,9,0.0152224211766758,0.0251540799421729
"10",10,10,1.08974478480242e-07,0.0498465218336535
"11",11,11,0.0111263808640884,0.0148786460690464
"12",12,12,0.0353582122713388,0.0203913365011303
"13",13,13,0.00278792462872747,0.00919845883105755
"14",14,14,0.012642860728264,0.0538254645146261
"15",15,15,0.0361886345223798,0.0488017095197274
