"","V1"
"1",-0.517286513433954
"2",1.018430356886
"3",-1.67539621889222
"4",0.167178324205828
"5",-0.0703342610353358
"6",-1.6612547531502
"7",-0.112700890837161
"8",-0.898962231626417
"9",0.439658925353392
"10",2.02501000890985
"11",0.248329059912111
"12",0.778658621511978
"13",-0.361474299286846
"14",0.631032904304908
"15",1.38904517763497
"16",-1.39816090375557
"17",0.308064746652373
"18",-2.06668581312818
"19",0.611104634605554
"20",0.493165062166675
"21",-1.03856748925356
"22",1.45910969064697
"23",0.464669995100759
"24",-1.10061109578822
"25",-0.288208936810935
"26",1.15175582641123
"27",0.119130896790923
"28",0.09235460677185
"29",0.539998102291718
"30",-0.747053533158506
